registered_at,Total_Revenue,Sold_Products
2012-02-07T20:18:44Z,9392,921
2013-05-19T14:33:27Z,8161,1205
2011-12-01T21:48:36Z,8884,956
2012-02-12T21:10:27Z,10089,930
2011-09-13T20:39:11Z,11210,1044
2013-02-21T10:24:39Z,8944,1003
2013-07-19T02:14:44Z,11330,829
2013-04-16T09:58:46Z,8591,907
2012-04-02T03:29:04Z,10773,1111
2015-07-09T17:26:09Z,9844,825
2012-12-09T04:05:56Z,11573,883
2015-09-02T19:03:38Z,8218,1093
2014-08-08T15:49:11Z,9175,955
2014-06-04T17:08:18Z,9207,875
2014-01-28T07:37:07Z,8557,1214
2011-12-06T19:02:36Z,11343,805
2016-04-09T22:36:52Z,9969,814
2016-11-15T16:19:40Z,9971,1100
2016-06-02T10:46:59Z,10801,1019
2011-11-12T00:27:01Z,11940,1017
2015-05-17T19:27:23Z,7605,1063
2013-10-09T16:38:15Z,12726,958
2011-06-20T19:37:06Z,11009,964
2013-10-02T11:56:05Z,14162,999
2015-11-20T10:07:10Z,9661,998
2015-08-06T20:18:48Z,10326,716
2011-09-19T17:40:59Z,9451,845
2013-03-02T20:10:47Z,12125,953
2012-09-16T13:20:31Z,10869,1043
2012-09-23T16:58:30Z,9740,695
2015-02-28T22:44:09Z,9889,1044
2014-07-07T06:00:26Z,10765,1044
2012-05-28T22:32:59Z,9222,875
2016-05-23T01:48:40Z,10194,1106
2014-02-11T21:20:39Z,9274,1104
2016-08-02T03:51:38Z,10425,1203
2013-11-03T10:05:31Z,9483,1037
2016-12-24T10:05:49Z,9205,978
2013-04-27T10:20:37Z,8073,802
2016-04-19T12:32:36Z,10880,870
2011-07-02T13:26:23Z,10701,973
2011-12-11T03:56:08Z,11401,867
2011-08-19T14:11:30Z,8907,1170
2012-01-14T19:27:25Z,10640,1020
2014-04-23T23:51:20Z,11146,1037
2014-09-25T23:55:01Z,7375,918
2013-08-13T21:27:57Z,9148,1173
2012-06-23T12:42:30Z,9292,793
2011-04-06T15:46:31Z,7603,1293
2015-11-15T07:26:38Z,7888,808
2013-08-27T09:45:10Z,10308,918
2012-01-27T14:20:57Z,10711,1067
2011-07-21T07:59:02Z,11833,974
2013-09-04T08:24:31Z,12352,888
2015-06-24T06:49:55Z,10907,917
2013-03-20T14:02:17Z,8792,885
2016-06-04T13:26:51Z,10531,983
2013-06-26T04:33:14Z,11166,1008
2014-10-16T04:49:17Z,9202,1085
2011-03-16T05:09:55Z,7946,982
2014-01-14T23:25:06Z,7546,798
2014-08-12T21:06:13Z,9353,891
2014-12-13T19:41:56Z,9754,973
2016-06-05T09:33:24Z,8928,1024
2012-09-17T14:00:58Z,9966,1133
2016-08-14T04:31:36Z,12127,1073
2011-12-10T01:50:00Z,11147,1068
2012-09-23T09:02:33Z,9616,1075
2014-06-10T09:19:50Z,9570,1071
2013-08-12T07:32:38Z,9794,988
2014-01-05T19:53:22Z,8561,953
2011-02-07T15:26:48Z,9992,1012
2011-03-03T17:41:12Z,10113,823
2012-05-21T13:24:35Z,8764,932
2015-07-27T08:42:54Z,8661,783
2015-07-02T12:51:22Z,9340,855
2011-06-04T16:59:40Z,11241,1077
2011-06-02T02:10:45Z,9814,1218
2016-06-09T08:34:45Z,12005,1037
2012-08-21T20:13:47Z,10201,977
2011-11-09T10:33:40Z,12761,942
2012-03-08T23:40:32Z,10084,1145
2016-02-16T08:07:33Z,8541,1080
2011-08-27T16:38:35Z,9727,1104
2016-03-24T00:22:36Z,10060,1074
2014-04-19T05:01:37Z,10725,760
2014-04-14T00:47:55Z,9684,1119
2016-01-10T13:23:12Z,9337,898
2016-12-22T22:36:59Z,8932,943
2014-03-09T07:30:16Z,11521,1014
2013-05-10T22:25:40Z,10084,924
2013-09-04T06:48:36Z,9973,1277
2016-04-01T23:24:41Z,6507,954
2012-07-20T14:14:25Z,8137,1005
2012-11-07T11:26:13Z,10505,970
2013-02-12T22:37:33Z,10838,1071
2012-03-22T09:48:00Z,9427,982
2014-11-28T09:47:54Z,9789,1187
2013-11-14T14:07:00Z,10227,973
2016-12-24T10:59:05Z,8725,915
2012-04-01T15:25:07Z,10948,826
2012-06-24T11:53:15Z,9171,1221
2014-09-17T18:49:11Z,11444,1011
2014-01-28T15:20:52Z,10911,1092
2015-03-15T17:00:32Z,11380,1040
2012-06-03T23:30:22Z,9850,859
2015-09-01T14:51:42Z,8640,877
2011-08-12T16:09:02Z,11238,948
2011-02-16T02:21:47Z,12600,1013
2015-07-18T16:01:31Z,11645,1149
2015-01-21T03:12:19Z,10949,828
2016-10-24T10:04:07Z,9524,908
2011-11-05T16:27:55Z,11248,1023
2015-03-18T16:56:43Z,9023,873
2016-12-13T14:44:53Z,8679,1093
2013-05-06T11:56:53Z,9215,1232
2011-10-17T05:38:25Z,9863,1311
2015-10-13T20:49:06Z,9737,1243
2013-07-11T02:52:23Z,9430,990
2012-08-18T05:17:46Z,9778,953
2013-08-10T19:24:12Z,10564,886
2012-01-10T15:01:45Z,10158,1074
2013-08-25T11:49:39Z,9997,863
2011-05-23T13:15:31Z,9730,927
2014-05-19T15:55:43Z,10446,872
2013-07-09T12:58:32Z,10337,1015
2011-06-28T05:39:42Z,9983,1114
2015-03-22T19:26:52Z,10133,1036
2016-08-17T10:45:49Z,9321,1024
2013-07-02T22:46:07Z,9906,1037
2016-11-13T16:11:24Z,11699,759
2011-05-02T05:16:14Z,11226,980
2012-05-20T12:19:19Z,9631,1021
2011-08-16T23:08:36Z,10287,1128
2013-10-06T17:51:02Z,8548,833
2013-02-13T16:24:13Z,7582,837
2012-10-14T20:24:34Z,7902,1049
2015-11-20T14:02:47Z,9153,1044
2014-09-06T11:53:20Z,10383,1075
2014-07-10T07:06:21Z,8638,1002
2012-07-07T03:34:04Z,11895,779
2014-11-07T09:06:32Z,12504,1094
2012-11-04T02:15:00Z,9992,1159
2016-05-08T04:17:45Z,10342,1123
2012-09-23T02:28:35Z,7450,977
2014-02-06T10:35:13Z,9753,1138
2016-12-21T19:02:14Z,8605,1147
2012-04-17T15:25:36Z,10749,1081
2012-04-02T01:13:33Z,11442,1010
2015-12-15T19:25:57Z,11069,970
2012-01-24T05:18:43Z,11706,1027
2016-08-05T09:00:39Z,9269,968
2013-01-12T05:18:10Z,6625,1234
2016-05-18T13:03:17Z,8963,945
2015-10-20T10:45:57Z,11736,838
2016-01-15T02:32:27Z,11382,1119
2012-07-10T00:14:01Z,11393,945
2014-03-19T13:01:18Z,9985,1036
2013-07-07T04:58:55Z,12191,935
2013-04-25T07:07:11Z,11954,996
2016-06-12T06:09:04Z,11151,983
2016-02-05T03:01:05Z,8877,1110
2013-06-04T09:26:14Z,8932,964
2014-08-18T13:18:47Z,9026,834
2014-11-13T20:11:37Z,10106,1098
2012-06-16T13:00:12Z,9814,927
2013-02-15T17:30:19Z,11092,989
2011-05-29T02:02:27Z,8502,878
2014-06-21T22:38:34Z,10988,1247
2011-10-18T10:35:49Z,10482,1159
2015-03-27T21:59:16Z,11502,1085
2015-10-06T16:07:20Z,10554,1049
2016-05-09T17:58:12Z,9542,964
2014-12-22T15:59:33Z,10339,1183
2016-10-16T23:41:34Z,8121,994
2015-02-21T21:19:46Z,12558,931
2016-01-13T08:03:07Z,9007,1192
2013-04-21T10:51:47Z,9058,1008
2015-01-10T17:23:44Z,9649,842
2015-04-03T07:04:57Z,7649,1152
2011-02-28T21:15:54Z,9952,1222
2016-08-21T02:57:55Z,9443,1135
2015-02-27T03:57:44Z,11462,1042
2016-04-27T02:16:22Z,10599,716
2014-09-28T11:00:49Z,9552,1102
2014-12-15T11:18:31Z,11511,1045
2013-07-24T14:50:04Z,10612,843
2016-02-28T19:14:35Z,11611,1138
2015-05-04T00:18:03Z,9023,912
2012-06-02T14:22:10Z,8376,907
2012-09-15T14:45:22Z,9644,929
2012-07-10T14:45:00Z,9907,865
2016-11-19T06:11:44Z,9079,1129
2011-08-01T06:15:25Z,11878,929
2011-05-16T16:08:45Z,10422,848
2011-03-22T18:18:01Z,9525,1115
2013-08-26T12:23:01Z,10900,1145
2013-10-28T22:39:56Z,11700,985
2011-09-13T18:29:35Z,12162,1056
2011-06-15T07:02:56Z,10791,918
2015-06-22T02:25:50Z,9074,1266
2014-03-27T09:34:45Z,10190,904
2013-11-07T12:30:18Z,10690,1100
2011-12-15T19:18:10Z,11789,1070
2015-12-11T06:23:34Z,11107,1171
2014-01-23T18:58:47Z,12231,1171
2013-06-27T05:31:24Z,11174,1055
2015-01-13T17:41:57Z,12518,1234
2014-07-20T13:31:47Z,10243,956
2012-08-25T07:57:15Z,10975,1067
2014-07-04T08:50:02Z,9402,1020
2014-10-02T17:57:09Z,10002,1251
2015-07-23T10:43:29Z,11229,1168
2015-05-19T09:09:05Z,11524,819
2011-07-01T12:08:42Z,9611,908
2013-06-10T22:44:42Z,9485,1214
2011-01-24T16:41:06Z,9065,1221
2013-12-12T18:06:50Z,10692,1011
2014-05-13T22:48:27Z,10387,1054
2013-03-17T04:27:45Z,11423,922
2014-11-01T10:09:42Z,11043,1071
2014-06-10T09:14:27Z,6489,1139
2013-12-16T23:29:43Z,10421,993
2012-04-24T23:59:55Z,11091,1239
2016-04-07T15:58:45Z,9635,711
2012-08-04T16:28:40Z,10483,1178
2015-07-06T05:45:13Z,9801,888
2014-12-18T16:48:52Z,9845,1003
2015-02-21T02:37:37Z,10569,1007
2016-06-18T01:25:20Z,12754,988
2011-07-23T06:45:01Z,10796,1082
2013-01-17T08:05:08Z,12228,811
2014-12-24T03:39:15Z,10995,927
2014-06-12T10:27:53Z,11192,1156
2012-11-02T21:11:32Z,8948,1055
2016-12-14T03:59:48Z,10105,1248
2011-11-03T05:52:09Z,10662,1039
2012-01-24T08:44:32Z,10423,1110
2016-06-23T18:34:42Z,10916,960
2011-01-28T22:13:44Z,9244,1037
2016-02-27T09:32:35Z,10062,837
2012-08-20T05:07:17Z,7784,784
2012-11-02T17:40:44Z,10413,892
2012-07-20T20:48:00Z,11170,1046
2012-06-20T04:05:57Z,8603,1131
2014-12-25T01:31:32Z,8720,890
2013-11-17T15:21:54Z,9277,1168
2016-05-04T16:03:45Z,7057,1241
2014-04-14T09:51:55Z,9422,801
2015-02-27T12:12:51Z,9239,1226
2014-03-28T12:53:24Z,9054,1123
2011-09-15T21:49:49Z,7829,1020
2011-07-05T06:30:32Z,9279,1194
2011-03-09T21:22:09Z,9533,1051
2012-07-06T15:46:21Z,9451,830
2012-09-26T06:55:39Z,9218,1157
2015-05-22T15:57:53Z,9953,959
2015-11-17T16:37:58Z,13112,859
2016-05-27T00:18:00Z,11085,973
2016-04-26T13:07:21Z,11589,1043
2016-11-20T01:08:33Z,8886,816
2015-11-26T22:09:08Z,10312,615
2013-11-15T04:45:52Z,13647,863
2013-04-08T02:50:47Z,10715,1220
2012-09-22T08:00:48Z,13147,1039
2016-06-02T18:13:56Z,10713,811
2014-10-25T15:35:54Z,8439,879
2013-09-11T13:46:29Z,8540,1099
2011-03-20T02:02:32Z,10446,1084
2012-09-28T09:59:37Z,10074,1119
2014-02-01T14:00:48Z,8425,1254
2016-08-24T08:22:41Z,11199,899
2011-06-02T19:03:59Z,9098,1022
2016-01-07T11:55:07Z,9177,1077
2016-03-21T11:58:16Z,8847,1086
2013-11-19T05:36:40Z,10808,1121
2012-05-28T21:16:04Z,8649,1262
2014-04-09T10:28:58Z,13673,992
2015-06-07T08:36:23Z,8955,1081
2016-09-09T15:29:43Z,11599,1040
2011-05-24T20:01:59Z,11951,1012
2015-04-03T08:01:46Z,8569,1416
2011-09-11T08:27:45Z,8704,873
2011-05-11T19:38:48Z,10222,1170
2013-05-25T10:43:08Z,8917,868
2013-03-18T22:51:42Z,8914,846
2012-02-03T01:12:22Z,8831,981
2013-05-18T13:01:09Z,8427,1107
2015-01-17T11:45:17Z,9677,794
2013-09-17T22:17:46Z,10014,1155
2015-11-15T08:46:02Z,10809,1049
2012-10-21T13:56:52Z,11289,846
2012-03-18T17:13:32Z,6891,1015
2012-02-11T08:16:57Z,8734,857
2013-04-07T23:25:08Z,9136,837
2011-06-22T02:18:02Z,9298,971
2013-04-16T09:00:39Z,10933,917
2013-12-27T15:29:17Z,9221,800
2015-04-14T20:47:05Z,10317,913
2013-05-05T09:33:44Z,8173,1117
2012-03-04T11:01:50Z,11455,769
2012-07-27T04:38:49Z,8350,928
2011-11-28T07:44:41Z,10121,863
2013-09-04T20:44:45Z,9714,1034
2016-01-22T15:44:30Z,10221,884
2011-04-12T07:21:42Z,10743,986
2012-04-24T00:27:26Z,9724,977
2015-06-14T23:31:12Z,10175,862
2012-07-16T04:54:51Z,9515,867
2012-05-18T21:39:30Z,11405,1079
2014-02-07T06:57:49Z,9804,916
2015-09-20T03:20:43Z,8449,1082
2015-12-04T12:54:59Z,9918,763
2013-08-13T08:12:22Z,7565,1087
2014-06-20T11:24:29Z,10731,828
2011-11-20T13:24:47Z,11912,824
2011-10-02T15:35:42Z,10013,966
2014-01-01T18:53:45Z,9196,996
2014-05-04T18:14:21Z,8109,939
2014-12-23T06:22:49Z,8764,1108
2016-04-18T21:04:01Z,10659,748
2011-01-03T01:41:29Z,8361,995
2012-10-28T23:24:05Z,11225,1148
2016-06-24T23:47:36Z,7365,902
2011-11-22T04:01:48Z,9168,1144
2011-07-05T14:17:33Z,10153,932
2014-09-16T22:21:21Z,10873,1026
2016-03-27T16:24:48Z,10624,973
2012-09-22T20:42:02Z,9620,1090
2015-04-19T21:50:41Z,8591,766
2011-02-06T03:07:15Z,9277,1077
2015-03-01T22:47:58Z,9594,980
2013-10-22T13:30:45Z,10206,914
2014-02-26T12:14:06Z,10863,1073
2013-01-19T10:27:40Z,12796,836
2016-05-07T05:31:31Z,9633,1137
2014-01-08T15:32:21Z,9148,1014
2015-09-28T05:54:24Z,7662,982
2014-03-09T18:36:31Z,9221,839
2011-06-13T16:12:39Z,10316,993
2016-12-03T05:10:11Z,14050,1372
2013-05-07T20:43:42Z,11371,1158
2013-08-21T16:35:48Z,12867,810
2012-03-05T23:31:41Z,9899,938
2014-07-16T13:57:06Z,8483,955
2011-12-10T17:25:54Z,9967,1235
2015-04-28T17:06:20Z,8962,1045
2011-12-17T11:40:54Z,11610,780
2012-11-24T11:08:51Z,9513,802
2013-04-26T11:31:46Z,9023,961
2014-10-18T02:00:31Z,9584,1021
2016-11-19T22:18:23Z,11208,804
2011-11-25T15:30:06Z,8149,1109
2012-10-08T05:21:46Z,9500,978
2011-04-05T04:58:42Z,9440,765
2013-03-23T16:56:24Z,10034,1219
2013-11-20T20:40:32Z,10891,1111
2012-12-15T09:25:53Z,10201,1093
2012-11-06T23:27:55Z,9802,949
2016-07-17T01:35:03Z,10910,829
2015-09-12T15:17:38Z,12463,867
2013-04-07T01:05:34Z,11089,906
2012-04-09T05:20:08Z,13409,1057
2016-01-04T09:45:09Z,10682,840
2011-07-07T15:05:03Z,7889,1003
2015-04-05T11:14:57Z,9971,917
2013-02-04T09:18:58Z,9435,1064
2012-05-21T16:47:41Z,9199,747
2014-12-08T01:21:59Z,12543,1221
2016-02-15T16:16:51Z,11051,772
2015-05-24T03:04:56Z,6943,1087
2011-06-01T06:30:11Z,9469,885
2012-01-16T02:39:10Z,10715,947
2016-08-03T17:28:38Z,11005,1031
2011-10-12T13:47:19Z,10191,870
2012-03-06T18:53:26Z,12547,985
2016-12-09T14:03:43Z,6613,1149
2016-03-16T16:57:35Z,10567,1081
2015-05-25T02:37:48Z,10891,1107
2014-05-17T05:14:14Z,9677,962
2013-05-14T19:43:04Z,10106,1067
2012-10-16T09:39:19Z,9573,948
2014-11-12T22:04:55Z,11569,1130
2014-05-23T10:55:05Z,10390,1054
2011-01-13T05:14:17Z,10625,964
2014-11-05T05:55:27Z,8707,1054
2013-12-12T10:03:29Z,8194,1154
2013-11-06T17:38:20Z,9909,898
2013-04-20T17:49:14Z,11188,850
2013-06-14T02:11:54Z,10180,849
2014-09-08T11:40:50Z,8483,973
2012-02-21T13:21:12Z,8851,1083
2011-01-24T08:11:29Z,8315,1089
2013-11-13T10:01:50Z,7068,1152
2013-12-02T09:54:38Z,10482,1047
2013-06-01T05:01:32Z,9898,1030
2014-09-12T01:02:17Z,10544,1110
2016-03-19T20:01:45Z,9568,1071
2016-04-11T00:47:48Z,10147,1044
2013-07-07T22:31:47Z,8058,806
2011-09-03T00:49:56Z,9762,1186
2015-10-01T06:50:37Z,7413,1072
2014-06-22T06:43:54Z,10543,815
2012-10-21T00:04:14Z,9259,943
2012-06-18T10:33:30Z,11039,1121
2011-12-09T10:21:08Z,13056,966
2014-02-14T01:54:22Z,9438,1187
2014-08-18T16:44:19Z,11593,969
2014-02-10T08:54:53Z,10820,916
2012-02-24T14:59:05Z,10885,1082
2015-09-11T01:05:09Z,9774,1034
2015-10-08T05:08:16Z,12038,1021
2013-08-25T12:23:19Z,10168,930
2012-12-12T12:29:56Z,11898,701
2011-11-24T14:03:39Z,10925,1107
2011-07-10T02:11:12Z,10181,1179
2015-12-07T14:34:46Z,10885,821
2011-04-23T17:13:04Z,9613,931
2011-05-16T13:20:25Z,9965,977
2016-12-03T17:01:45Z,9598,1069
2016-11-28T14:15:40Z,9804,891
2016-01-06T08:22:46Z,10868,978
2012-01-11T10:23:44Z,10969,1084
2013-05-22T10:14:41Z,9921,1025
2013-09-12T05:28:45Z,9826,917
2016-10-14T13:05:11Z,11987,1013
2013-07-24T22:00:14Z,11315,961
2014-10-20T02:58:49Z,9151,944
2014-03-27T05:57:13Z,10134,1052
2016-01-16T02:16:32Z,10035,952
2012-10-21T07:10:37Z,12046,998
2013-05-17T10:42:54Z,8463,795
2013-09-26T03:25:43Z,9966,1234
2014-01-23T21:15:06Z,8882,956
2014-10-11T15:19:27Z,11689,1363
2013-03-15T08:01:41Z,9902,1072
2016-10-12T07:29:23Z,9143,1055
2016-12-27T22:23:32Z,10037,809
2015-04-02T09:57:54Z,11618,1152
2011-07-28T18:22:31Z,9313,989
2016-02-07T14:20:59Z,11274,994
2011-01-05T00:53:00Z,8914,820
2011-03-19T07:04:39Z,9458,975
2014-09-09T01:06:26Z,9227,1092
2011-10-12T03:46:35Z,8930,793
2013-11-10T01:51:47Z,8849,1037
2016-04-11T00:17:05Z,8546,950
2016-06-18T21:19:12Z,9414,951
2015-11-26T21:35:49Z,10760,991
2016-01-20T00:53:08Z,10680,978
2016-07-21T16:34:30Z,7301,1019
2011-03-19T04:51:45Z,9894,940
2014-12-03T01:36:52Z,7687,1168
2014-04-08T10:13:06Z,10093,985
2012-01-12T09:55:16Z,7556,1154
2012-06-01T20:13:03Z,7617,649
2014-10-18T15:15:08Z,9067,914
2015-09-22T08:07:36Z,9541,902
2014-10-03T16:42:32Z,10569,885
2015-11-27T05:51:30Z,9234,955
2011-10-07T06:53:05Z,9486,781
2016-05-18T18:22:37Z,9162,1038
2012-01-13T11:35:44Z,9800,926
2013-04-27T05:03:52Z,9387,1024
2015-07-24T04:09:04Z,10420,873
2011-02-21T01:18:07Z,9428,1141
2013-08-26T05:24:27Z,10031,896
2016-01-11T11:35:33Z,10508,1041
2015-09-07T06:52:03Z,9823,1030
2011-12-26T01:28:28Z,11566,894
2013-11-05T08:54:14Z,10163,1245
2014-08-06T14:30:22Z,8199,1071
2013-10-24T02:50:10Z,11579,978
2011-04-21T03:30:40Z,8290,948
2013-03-06T21:20:10Z,12188,1055
2012-08-04T22:14:54Z,12671,905
2011-07-16T08:15:45Z,9316,1184
2014-08-03T03:05:22Z,9788,913
2013-06-20T06:15:49Z,9586,885
2013-10-19T12:11:02Z,9792,991
2012-11-03T00:27:19Z,10377,859
2011-11-25T10:08:55Z,10455,1127
2012-09-17T05:12:31Z,11573,867
2011-08-08T10:45:33Z,10466,1008
2016-12-26T11:14:15Z,7372,768
2013-11-01T18:59:53Z,9790,638
2013-08-24T20:28:29Z,8325,1160
2013-11-05T17:22:05Z,10072,962
2016-07-03T10:18:45Z,9643,951
2012-04-06T13:25:34Z,10585,1064
2013-07-23T17:36:15Z,10761,1173
2013-02-09T11:30:15Z,10000,1134
2013-01-22T19:08:55Z,8354,993
2014-11-18T08:33:59Z,9940,1160
2015-02-27T18:04:38Z,10266,667
2012-10-20T00:16:40Z,12377,940
2013-03-25T03:18:56Z,8454,1077
2012-01-20T04:48:22Z,8885,831
2011-05-08T06:00:31Z,10255,959
2012-05-16T23:16:17Z,9599,900
2016-01-06T11:45:06Z,9493,1067
2012-03-21T00:29:28Z,8904,1000
2012-01-19T14:57:56Z,11093,1135
2016-12-08T22:07:59Z,10643,823
2012-05-12T13:14:57Z,9866,834
2014-12-23T20:14:46Z,11259,1022
2012-09-09T08:40:49Z,7903,1012
2012-11-28T21:45:23Z,10213,945
2013-06-28T16:17:35Z,10350,982
2014-02-12T09:40:01Z,11160,1037
2015-09-27T12:23:02Z,9990,884
2013-02-28T07:02:33Z,10611,847
2012-01-25T05:37:12Z,7715,860
2014-06-02T02:43:50Z,8776,1009
2015-05-25T16:54:20Z,9163,800
2013-06-23T08:43:50Z,10259,864
2014-04-20T11:34:55Z,9682,1190
2015-06-21T16:17:39Z,9193,1021
2016-09-12T06:46:54Z,11983,887
2014-09-10T16:34:52Z,8386,1024
2014-11-03T22:24:06Z,8302,838
2016-06-11T05:00:45Z,9194,1188
2013-12-07T04:25:02Z,10436,891
2011-01-10T13:56:09Z,10841,1150
2015-02-11T23:11:57Z,10537,777
2013-09-12T15:20:04Z,8098,985
2014-07-05T11:31:13Z,7349,1251
2013-04-13T11:26:37Z,8689,1082
2011-05-06T17:04:58Z,9098,736
2013-09-01T18:27:40Z,12558,1241
2014-11-26T11:44:43Z,7810,1068
2011-12-13T06:16:07Z,8280,1132
2013-07-21T00:57:58Z,10738,1015
2012-07-18T18:38:21Z,10682,944
2013-08-19T18:08:38Z,10569,859
2012-01-15T01:23:52Z,11713,1143
2014-01-12T22:54:12Z,10885,912
2011-02-07T15:49:31Z,10564,1270
2012-04-26T17:48:16Z,10606,1001
2016-04-27T01:47:08Z,11128,1084
2013-11-23T11:06:52Z,9967,675
2013-05-07T09:25:02Z,8043,1006
2011-04-01T21:21:05Z,10729,835
2015-01-28T05:51:00Z,11013,1108
2013-10-21T12:37:44Z,12047,1205
2015-02-13T06:32:21Z,11846,802
2016-04-24T21:29:41Z,10563,996
2016-11-23T22:11:33Z,10856,1023
2016-12-07T20:30:57Z,8795,999
2013-05-08T04:58:38Z,9727,915
2016-08-18T06:52:37Z,11648,1093
2012-03-10T01:42:36Z,7953,704
2013-10-18T16:14:49Z,9275,1026
2014-12-15T03:09:15Z,9235,962
2014-10-16T14:09:54Z,10229,768
2011-07-19T11:40:09Z,9261,849
2014-06-13T07:37:46Z,11053,954
2016-01-09T02:52:49Z,10814,1055
2016-01-19T13:38:43Z,12974,908
2015-02-09T03:43:14Z,9521,827
2012-07-11T09:59:17Z,10953,871
2011-04-12T05:05:31Z,10348,998
2013-08-10T02:01:28Z,9119,982
2015-01-01T03:58:25Z,8065,772
2016-07-25T15:41:26Z,9169,1242
2013-09-10T12:10:53Z,10767,956
2012-11-25T07:51:11Z,10608,855
2011-06-14T13:11:48Z,8937,966
2013-04-06T01:40:31Z,10056,1062
2015-05-04T14:04:21Z,11022,790
2014-01-28T10:13:34Z,8683,1201
2011-02-05T23:33:18Z,10653,814
2012-09-14T03:21:38Z,11102,1134
2014-05-19T13:40:16Z,9248,964
2013-11-02T22:36:55Z,11175,1077
2016-07-19T04:32:23Z,8517,1237
2012-08-11T11:24:16Z,8712,1093
2014-12-13T05:13:20Z,9358,1046
2011-08-01T13:23:47Z,9493,1092
2011-05-25T23:56:02Z,11727,933
2014-11-18T22:05:18Z,10015,1157
2014-10-24T01:51:19Z,10293,758
2014-05-22T02:05:12Z,11341,1106
2011-04-24T07:06:26Z,11287,1250
2011-05-23T20:45:51Z,10020,1078
2016-05-04T15:36:58Z,11459,1006
2014-01-22T15:40:43Z,8974,946
2011-07-04T15:18:04Z,9143,730
2011-02-21T12:11:46Z,6807,1050
2016-01-22T04:43:45Z,11204,1114
2014-09-26T15:03:03Z,8799,876
2015-08-03T01:05:28Z,8661,1152
2014-09-25T22:37:23Z,9477,975
2016-12-21T09:11:22Z,10413,1141
2012-09-01T08:25:27Z,9032,868
2016-11-07T03:50:21Z,8182,837
2013-09-26T06:06:29Z,9337,952
2014-04-01T00:51:11Z,10471,881
